production_id,company_id,current_production_precious_aueq_koz,current_production_non_precious_aueq_koz,current_production_total_aueq_koz,future_production_total_aueq_koz,reserve_life_years,last_updated
1,7,400.0,0.0,400.0,,9.5,2025-03-27 01:32:56
2,8,4.75,0.25,5.0,,12.0,2025-03-27 01:32:56
3,10,3300.0,0.0,3300.0,,16.306363636363635,2025-03-27 01:32:56
4,15,250.0,0.0,250.0,,6.0,2025-03-27 01:32:56
5,16,15.0,0.0,15.0,,20.0,2025-03-27 01:32:56
6,18,22.5,0.0,22.5,,,2025-03-27 02:08:01
7,30,55.0,0.0,55.0,,13.454545454545455,2025-03-27 02:08:01
8,28,,,,170.0,,2025-03-27 02:08:01
9,32,240.0,0.0,240.0,,7.183333333333334,2025-03-27 02:12:19
10,36,220.0,0.0,220.0,400.0,12.309090909090909,2025-03-27 02:12:19
11,39,520.0,0.0,520.0,,19.23076923076923,2025-03-27 02:12:19
12,34,,,,330.0,,2025-03-27 02:12:20
13,48,35.0,0.0,35.0,125.0,,2025-03-27 02:16:31
14,49,35.0,0.0,35.0,,,2025-03-27 02:16:31
15,63,30.0,0.0,30.0,100.0,,2025-03-27 02:27:25
16,68,1000.0,0.0,1000.0,,5.0,2025-03-27 02:27:25
17,67,,,,200.0,,2025-03-27 02:27:25
18,487,650.0,0.0,650.0,,32.23230769230769,2025-03-27 02:39:08
19,144,670.0,0.0,670.0,,,2025-03-27 02:39:08
20,208,2100.0,0.0,2100.0,,13.904761904761905,2025-03-27 02:39:08
21,318,1000.0,0.0,1000.0,,19.72,2025-03-27 02:39:08
22,245,480.0,0.0,480.0,,11.5375,2025-03-27 02:39:08
23,444,105.0,0.0,105.0,,,2025-03-27 02:39:08
24,312,95.0,0.0,95.0,,,2025-03-27 02:39:08
25,204,675.0,0.0,675.0,,17.185185185185187,2025-03-27 02:43:41
26,125,575.0,0.0,575.0,,33.31652173913044,2025-03-27 02:43:41
27,129,500.0,0.0,500.0,,27.396,2025-03-27 02:43:41
28,172,175.0,0.0,175.0,,11.599999999999998,2025-03-27 02:43:41
29,334,500.0,0.0,500.0,,9.0,2025-03-27 02:43:41
30,83,220.0,0.0,220.0,,13.636363636363637,2025-03-27 02:43:41
31,283,375.0,0.0,375.0,,43.733333333333334,2025-03-27 02:43:41
32,412,700.0,0.0,700.0,,2.3485714285714288,2025-03-27 02:43:41
